tss_id,chromosome,coordinate,strand,sigma_factor,resolution,data_source,pubmed_references
BSGatlas-TSS-102,basu168,128780,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-103,basu168,129285,+,A,22,Nicolas et al.,
BSGatlas-TSS-104,basu168,129306,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-105,basu168,134102,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-106,basu168,134136,+,A,22,Nicolas et al.,
BSGatlas-TSS-107,basu168,135170,+,A,22,Nicolas et al.,
BSGatlas-TSS-108,basu168,138943,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-109,basu168,153211,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-110,basu168,153529,-,K,22,Nicolas et al.,
BSGatlas-TSS-111,basu168,153725,+,A,22,Nicolas et al.,
BSGatlas-TSS-112,basu168,154838,+,A,22,Nicolas et al.,
BSGatlas-TSS-113,basu168,155121,+,A,22,Nicolas et al.,
BSGatlas-TSS-114,basu168,156089,+,F,0,DBTBS,"7559346,17962296"
BSGatlas-TSS-115,basu168,156588,+,E,0,DBTBS,7559346
BSGatlas-TSS-116,basu168,157370,+,A,22,Nicolas et al.,
BSGatlas-TSS-117,basu168,159100,-,F,0,DBTBS,"1906867,17962296"
BSGatlas-TSS-118,basu168,160581,-,E,0,DBTBS,"12662922,17962296"
BSGatlas-TSS-119,basu168,160675,+,A,22,Nicolas et al.,
BSGatlas-TSS-120,basu168,176926,+,A,22,Nicolas et al.,
BSGatlas-TSS-121,basu168,178598,+,A,22,Nicolas et al.,
BSGatlas-TSS-122,basu168,182713,+,B,22,Nicolas et al.,
BSGatlas-TSS-123,basu168,183358,-,A,0,BsubCyc,"17962296,17725565"
BSGatlas-TSS-124,basu168,183361,-,A,0,BsubCyc,"14563870,17962296"
BSGatlas-TSS-125,basu168,183364,-,A,0,DBTBS,14563870
BSGatlas-TSS-126,basu168,185056,-,A,22,Nicolas et al.,
BSGatlas-TSS-127,basu168,193009,-,A,22,Nicolas et al.,
BSGatlas-TSS-128,basu168,194072,-,A,22,Nicolas et al.,
BSGatlas-TSS-129,basu168,194178,+,A,22,Nicolas et al.,
BSGatlas-TSS-130,basu168,194788,+,W,22,Nicolas et al.,
BSGatlas-TSS-131,basu168,194821,+,W,0,DBTBS,"9987136,12207695,17962296"
BSGatlas-TSS-132,basu168,196042,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-133,basu168,196132,+,A,22,Nicolas et al.,
BSGatlas-TSS-134,basu168,199878,+,K,22,Nicolas et al.,
BSGatlas-TSS-135,basu168,199957,+,A,22,Nicolas et al.,
BSGatlas-TSS-136,basu168,200014,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-137,basu168,203507,-,A,0,DBTBS,"8376346,17962296"
BSGatlas-TSS-138,basu168,203608,+,A,0,DBTBS,"8376346,17962296"
BSGatlas-TSS-139,basu168,204977,+,A,22,Nicolas et al.,
BSGatlas-TSS-140,basu168,211335,-,B,22,Nicolas et al.,
BSGatlas-TSS-141,basu168,211414,+,A,22,Nicolas et al.,
BSGatlas-TSS-142,basu168,212401,+,A,22,Nicolas et al.,
BSGatlas-TSS-143,basu168,213283,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-144,basu168,213888,+,A,0,DBTBS,"16452424,17962296"
BSGatlas-TSS-145,basu168,216321,+,H,22,Nicolas et al.,
BSGatlas-TSS-146,basu168,216331,-,K,22,Nicolas et al.,
BSGatlas-TSS-147,basu168,221861,+,A,22,Nicolas et al.,
BSGatlas-TSS-148,basu168,222945,+,A,22,Nicolas et al.,
BSGatlas-TSS-149,basu168,224181,-,K,22,Nicolas et al.,
BSGatlas-TSS-150,basu168,224970,-,A,22,Nicolas et al.,
BSGatlas-TSS-151,basu168,225023,+,D,22,Nicolas et al.,
BSGatlas-TSS-152,basu168,226436,+,A,22,Nicolas et al.,
BSGatlas-TSS-153,basu168,228021,+,F,22,Nicolas et al.,
BSGatlas-TSS-154,basu168,229382,-,H,22,Nicolas et al.,
BSGatlas-TSS-155,basu168,229493,+,B,22,Nicolas et al.,
BSGatlas-TSS-156,basu168,229847,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-157,basu168,231118,-,B,22,Nicolas et al.,
BSGatlas-TSS-158,basu168,231288,+,A,22,Nicolas et al.,
BSGatlas-TSS-159,basu168,233928,-,Unknown,0,DBTBS,10913081
BSGatlas-TSS-160,basu168,234998,+,K,22,Nicolas et al.,
BSGatlas-TSS-161,basu168,235401,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-162,basu168,235483,-,A,0,DBTBS,"8012593,17962296"
BSGatlas-TSS-163,basu168,235904,+,A,22,Nicolas et al.,
BSGatlas-TSS-164,basu168,238569,-,E,22,Nicolas et al.,
BSGatlas-TSS-165,basu168,241889,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-166,basu168,243695,-,A,22,Nicolas et al.,
BSGatlas-TSS-167,basu168,243871,+,A,0,DBTBS,"7496533,17962296"
BSGatlas-TSS-168,basu168,245121,+,E,22,Nicolas et al.,
BSGatlas-TSS-169,basu168,245183,+,A,22,Nicolas et al.,
BSGatlas-TSS-170,basu168,246196,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-171,basu168,246583,+,A,22,Nicolas et al.,
BSGatlas-TSS-172,basu168,246908,+,D,22,Nicolas et al.,
BSGatlas-TSS-173,basu168,247711,+,X,0,DBTBS,"14762009,17962296"
BSGatlas-TSS-174,basu168,249934,+,W,22,Nicolas et al.,
BSGatlas-TSS-175,basu168,251385,+,A,22,Nicolas et al.,
BSGatlas-TSS-176,basu168,252460,+,A,22,Nicolas et al.,
BSGatlas-TSS-177,basu168,253353,-,E,22,Nicolas et al.,
BSGatlas-TSS-178,basu168,254805,-,H,22,Nicolas et al.,
BSGatlas-TSS-179,basu168,254849,-,E,22,Nicolas et al.,
BSGatlas-TSS-180,basu168,256685,+,A,22,Nicolas et al.,
BSGatlas-TSS-182,basu168,257635,-,A,0,BsubCyc,23667565
BSGatlas-TSS-183,basu168,257750,+,A,0,BsubCyc,23667565
BSGatlas-TSS-184,basu168,258492,+,Unknown,0,DBTBS,"12897008,17962296"
BSGatlas-TSS-185,basu168,258596,-,B,22,Nicolas et al.,
BSGatlas-TSS-186,basu168,258889,+,A,0,BsubCyc,"17962296,21699902"
BSGatlas-TSS-187,basu168,261647,-,A,22,Nicolas et al.,
BSGatlas-TSS-188,basu168,262658,-,A,22,Nicolas et al.,
BSGatlas-TSS-189,basu168,265269,-,A,0,DBTBS,"15995196,17962296"
BSGatlas-TSS-190,basu168,265279,+,A,22,Nicolas et al.,
BSGatlas-TSS-191,basu168,267772,+,A,22,Nicolas et al.,
BSGatlas-TSS-192,basu168,273206,+,A,22,Nicolas et al.,
BSGatlas-TSS-193,basu168,275603,+,A,22,Nicolas et al.,
BSGatlas-TSS-194,basu168,276798,+,A,0,DBTBS,10706627
BSGatlas-TSS-195,basu168,277298,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-196,basu168,278308,+,A,22,Nicolas et al.,
BSGatlas-TSS-197,basu168,282200,-,B,22,Nicolas et al.,
BSGatlas-TSS-198,basu168,282445,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-199,basu168,282446,+,E,0,DBTBS,"9515903,17962296"
BSGatlas-TSS-200,basu168,282963,+,A,22,Nicolas et al.,
BSGatlas-TSS-201,basu168,283231,-,A,22,Nicolas et al.,
BSGatlas-TSS-202,basu168,283984,+,Unknown,0,DBTBS,"10094677,17962296"
BSGatlas-TSS-203,basu168,284071,-,W,22,Nicolas et al.,
BSGatlas-TSS-204,basu168,287449,-,A,22,Nicolas et al.,
BSGatlas-TSS-205,basu168,287471,+,A,22,Nicolas et al.,
BSGatlas-TSS-206,basu168,287845,-,A,22,Nicolas et al.,
BSGatlas-TSS-207,basu168,290740,-,A,0,DBTBS,"12499232,17962296"
BSGatlas-TSS-208,basu168,290888,+,A,0,DBTBS,"11914346,17962296"
BSGatlas-TSS-209,basu168,292159,+,A,22,Nicolas et al.,
BSGatlas-TSS-210,basu168,293301,-,A,22,Nicolas et al.,
BSGatlas-TSS-211,basu168,293466,+,A,22,Nicolas et al.,
BSGatlas-TSS-212,basu168,296315,-,A,22,Nicolas et al.,
BSGatlas-TSS-213,basu168,296394,+,A,22,Nicolas et al.,
BSGatlas-TSS-214,basu168,298401,+,H,22,Nicolas et al.,
BSGatlas-TSS-215,basu168,300698,-,A,22,Nicolas et al.,
BSGatlas-TSS-216,basu168,302299,-,A,22,Nicolas et al.,
BSGatlas-TSS-217,basu168,302355,+,A,22,Nicolas et al.,
BSGatlas-TSS-218,basu168,304379,+,A,22,Nicolas et al.,
BSGatlas-TSS-219,basu168,304390,-,A,22,Nicolas et al.,
BSGatlas-TSS-220,basu168,305616,+,B,22,Nicolas et al.,
BSGatlas-TSS-221,basu168,307459,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-222,basu168,308272,+,A,0,DBTBS,"12426338,17962296"
BSGatlas-TSS-223,basu168,308911,+,A,22,Nicolas et al.,
BSGatlas-TSS-224,basu168,311859,+,A,22,Nicolas et al.,
BSGatlas-TSS-225,basu168,311915,-,A,22,Nicolas et al.,
BSGatlas-TSS-226,basu168,312067,+,A,0,DBTBS,"11866510,17962296"
BSGatlas-TSS-227,basu168,312080,+,W,0,DBTBS,"11866510,12207695,17962296"
BSGatlas-TSS-228,basu168,317687,+,A,22,Nicolas et al.,
BSGatlas-TSS-229,basu168,320725,-,A,22,Nicolas et al.,
BSGatlas-TSS-230,basu168,320952,+,A,0,DBTBS,"7622480,17962296"
BSGatlas-TSS-231,basu168,320989,+,A,0,BsubCyc,"17962296,7622480,23175650"
BSGatlas-TSS-232,basu168,320990,+,A,0,DBTBS,7622480
BSGatlas-TSS-233,basu168,325266,-,A,0,DBTBS,"8768514,17962296"
BSGatlas-TSS-234,basu168,325280,+,A,22,Nicolas et al.,
BSGatlas-TSS-235,basu168,326116,+,H,22,Nicolas et al.,
BSGatlas-TSS-236,basu168,326846,+,A,22,Nicolas et al.,
BSGatlas-TSS-237,basu168,327282,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-238,basu168,327497,+,A,0,DBTBS,"3123701,17962296"
BSGatlas-TSS-239,basu168,329715,+,A,0,DBTBS,"10809684,17962296"
BSGatlas-TSS-240,basu168,333073,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-241,basu168,334027,+,A,22,Nicolas et al.,
BSGatlas-TSS-242,basu168,334062,-,A,22,Nicolas et al.,
BSGatlas-TSS-243,basu168,334600,+,E,0,DBTBS,"12662922,17962296"
BSGatlas-TSS-244,basu168,335301,+,K,22,Nicolas et al.,
BSGatlas-TSS-245,basu168,337469,-,F,22,Nicolas et al.,
BSGatlas-TSS-246,basu168,337525,+,F,22,Nicolas et al.,
BSGatlas-TSS-247,basu168,338204,+,A,0,DBTBS,"9271869,17962296"
BSGatlas-TSS-248,basu168,338255,+,B,0,DBTBS,"9271869,17962296"
BSGatlas-TSS-249,basu168,339779,-,A,22,Nicolas et al.,
BSGatlas-TSS-250,basu168,339881,+,A,22,Nicolas et al.,
BSGatlas-TSS-251,basu168,339965,-,E,22,Nicolas et al.,
BSGatlas-TSS-252,basu168,339989,+,A,22,Nicolas et al.,
BSGatlas-TSS-253,basu168,341412,-,A,22,Nicolas et al.,
BSGatlas-TSS-254,basu168,341441,+,A,22,Nicolas et al.,
BSGatlas-TSS-255,basu168,342981,+,F,22,Nicolas et al.,
BSGatlas-TSS-256,basu168,343575,+,E,22,Nicolas et al.,
BSGatlas-TSS-257,basu168,344499,+,A,22,Nicolas et al.,
BSGatlas-TSS-258,basu168,346478,+,A,22,Nicolas et al.,
BSGatlas-TSS-259,basu168,346589,+,A,22,Nicolas et al.,
BSGatlas-TSS-260,basu168,347029,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-261,basu168,348694,+,A,22,Nicolas et al.,
BSGatlas-TSS-262,basu168,349535,-,D,22,Nicolas et al.,
BSGatlas-TSS-263,basu168,351794,-,W,22,Nicolas et al.,
BSGatlas-TSS-264,basu168,352735,-,A,22,Nicolas et al.,
BSGatlas-TSS-265,basu168,352794,+,A,22,Nicolas et al.,
BSGatlas-TSS-266,basu168,352803,-,E,22,Nicolas et al.,
BSGatlas-TSS-267,basu168,355609,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-268,basu168,355641,-,A,22,Nicolas et al.,
BSGatlas-TSS-269,basu168,358211,-,A,0,DBTBS,9765565
BSGatlas-TSS-270,basu168,362797,-,Unknown,0,DBTBS,"7836289,17962296"
BSGatlas-TSS-271,basu168,362897,+,A,0,DBTBS,"7836289,17962296"
BSGatlas-TSS-272,basu168,364221,+,A,0,DBTBS,"12426338,17962296"
BSGatlas-TSS-273,basu168,365802,+,A,0,BsubCyc,12426338
BSGatlas-TSS-274,basu168,368892,-,A,22,Nicolas et al.,
BSGatlas-TSS-275,basu168,368964,+,B,22,Nicolas et al.,
BSGatlas-TSS-276,basu168,369188,+,E,22,Nicolas et al.,
BSGatlas-TSS-277,basu168,369746,+,F,0,DBTBS,16497325
BSGatlas-TSS-278,basu168,370218,+,A,22,Nicolas et al.,
BSGatlas-TSS-279,basu168,372164,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-280,basu168,372626,-,A,22,Nicolas et al.,
BSGatlas-TSS-281,basu168,372801,+,A,22,Nicolas et al.,
BSGatlas-TSS-282,basu168,372846,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-283,basu168,374531,-,D,22,Nicolas et al.,
BSGatlas-TSS-284,basu168,375839,-,A,22,Nicolas et al.,
BSGatlas-TSS-285,basu168,375946,+,A,22,Nicolas et al.,
BSGatlas-TSS-286,basu168,376678,+,A,0,DBTBS,"1715856,17962296"
BSGatlas-TSS-287,basu168,403164,+,A,22,Nicolas et al.,
BSGatlas-TSS-288,basu168,404513,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-289,basu168,405046,-,A,22,Nicolas et al.,
BSGatlas-TSS-290,basu168,406053,-,E,22,Nicolas et al.,
BSGatlas-TSS-291,basu168,408174,-,A,22,Nicolas et al.,
BSGatlas-TSS-292,basu168,408919,-,A,22,Nicolas et al.,
BSGatlas-TSS-293,basu168,411523,-,A,22,Nicolas et al.,
BSGatlas-TSS-294,basu168,412195,-,B,22,Nicolas et al.,
BSGatlas-TSS-295,basu168,412525,-,A,22,Nicolas et al.,
BSGatlas-TSS-296,basu168,412533,+,A,22,Nicolas et al.,
BSGatlas-TSS-297,basu168,415291,+,A,22,Nicolas et al.,
BSGatlas-TSS-298,basu168,417751,+,A,22,Nicolas et al.,
BSGatlas-TSS-299,basu168,417761,-,A,22,Nicolas et al.,
BSGatlas-TSS-300,basu168,417954,+,K,22,Nicolas et al.,
BSGatlas-TSS-301,basu168,418277,-,E,22,Nicolas et al.,
BSGatlas-TSS-302,basu168,420005,-,F,22,Nicolas et al.,
BSGatlas-TSS-303,basu168,420089,+,F,0,DBTBS,"16707705,17962296"
BSGatlas-TSS-304,basu168,426537,+,A,22,Nicolas et al.,
BSGatlas-TSS-305,basu168,428799,+,A,0,DBTBS,"10464187,17962296"
BSGatlas-TSS-306,basu168,429697,+,E,22,Nicolas et al.,
BSGatlas-TSS-307,basu168,429880,+,H,0,DBTBS,"1702397,10464187"
BSGatlas-TSS-308,basu168,430501,-,K,22,Nicolas et al.,
BSGatlas-TSS-309,basu168,432039,-,A,22,Nicolas et al.,
BSGatlas-TSS-310,basu168,432210,+,A,22,Nicolas et al.,
BSGatlas-TSS-311,basu168,432271,+,A,22,Nicolas et al.,
BSGatlas-TSS-312,basu168,438427,-,A,22,Nicolas et al.,
BSGatlas-TSS-313,basu168,439575,+,A,22,Nicolas et al.,
BSGatlas-TSS-314,basu168,439629,-,A,22,Nicolas et al.,
BSGatlas-TSS-315,basu168,439686,+,A,22,Nicolas et al.,
BSGatlas-TSS-316,basu168,440355,-,F,22,Nicolas et al.,
BSGatlas-TSS-317,basu168,441510,-,A,0,DBTBS,"12123465,17962296"
BSGatlas-TSS-318,basu168,441543,+,A,0,DBTBS,"12123465,17962296"
BSGatlas-TSS-319,basu168,442793,+,B,0,DBTBS,10482513
BSGatlas-TSS-320,basu168,442914,+,A,22,Nicolas et al.,
BSGatlas-TSS-321,basu168,444430,+,F,0,DBTBS,"3141376,17962296"
BSGatlas-TSS-322,basu168,445449,+,A,22,Nicolas et al.,
BSGatlas-TSS-323,basu168,449070,-,A,22,Nicolas et al.,
BSGatlas-TSS-324,basu168,449167,+,A,22,Nicolas et al.,
BSGatlas-TSS-325,basu168,449641,+,A,22,Nicolas et al.,
BSGatlas-TSS-326,basu168,452789,+,A,22,Nicolas et al.,
BSGatlas-TSS-327,basu168,453096,+,K,22,Nicolas et al.,
BSGatlas-TSS-328,basu168,453994,+,A,22,Nicolas et al.,
BSGatlas-TSS-329,basu168,455301,-,A,22,Nicolas et al.,
BSGatlas-TSS-330,basu168,455319,+,A,22,Nicolas et al.,
BSGatlas-TSS-331,basu168,455967,-,B,22,Nicolas et al.,
BSGatlas-TSS-332,basu168,456021,+,A,22,Nicolas et al.,
BSGatlas-TSS-333,basu168,456926,+,A,22,Nicolas et al.,
BSGatlas-TSS-334,basu168,461239,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-335,basu168,462398,+,K,22,Nicolas et al.,
BSGatlas-TSS-336,basu168,463169,+,A,22,Nicolas et al.,
BSGatlas-TSS-337,basu168,463820,-,A,22,Nicolas et al.,
BSGatlas-TSS-338,basu168,463903,+,A,22,Nicolas et al.,
BSGatlas-TSS-339,basu168,467042,+,A,22,Nicolas et al.,
BSGatlas-TSS-340,basu168,469275,+,B,22,Nicolas et al.,
BSGatlas-TSS-341,basu168,469369,+,A,22,Nicolas et al.,
BSGatlas-TSS-342,basu168,471583,-,B,22,Nicolas et al.,
BSGatlas-TSS-343,basu168,471679,+,B,0,DBTBS,"10220166,17962296"
BSGatlas-TSS-344,basu168,473140,+,A,22,Nicolas et al.,
BSGatlas-TSS-345,basu168,473775,+,B,0,DBTBS,10220166
BSGatlas-TSS-346,basu168,474268,+,A,22,Nicolas et al.,
BSGatlas-TSS-347,basu168,474334,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-348,basu168,474698,+,W,22,Nicolas et al.,
BSGatlas-TSS-349,basu168,475908,+,A,22,Nicolas et al.,
BSGatlas-TSS-350,basu168,475918,-,A,22,Nicolas et al.,
BSGatlas-TSS-351,basu168,476033,+,A,0,DBTBS,"10913073,17962296"
BSGatlas-TSS-352,basu168,476502,+,A,22,Nicolas et al.,
BSGatlas-TSS-353,basu168,478812,+,B,22,Nicolas et al.,
BSGatlas-TSS-354,basu168,486082,+,A,22,Nicolas et al.,
BSGatlas-TSS-355,basu168,488811,+,B,0,DBTBS,"10220166,17962296"
BSGatlas-TSS-356,basu168,490638,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-357,basu168,490639,+,E,22,Nicolas et al.,
BSGatlas-TSS-358,basu168,491077,-,A,22,Nicolas et al.,
BSGatlas-TSS-359,basu168,492498,-,A,22,Nicolas et al.,
BSGatlas-TSS-360,basu168,492577,-,K,22,Nicolas et al.,
BSGatlas-TSS-361,basu168,493477,-,B,22,Nicolas et al.,
BSGatlas-TSS-362,basu168,493510,+,A,22,Nicolas et al.,
BSGatlas-TSS-363,basu168,494479,+,B,0,DBTBS,"7651322,1378051,8012595,17962296"
BSGatlas-TSS-364,basu168,494928,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-365,basu168,494982,+,A,22,Nicolas et al.,
BSGatlas-TSS-366,basu168,496586,-,B,0,DBTBS,11532142
BSGatlas-TSS-367,basu168,496981,+,A,22,Nicolas et al.,
BSGatlas-TSS-368,basu168,497716,-,A,22,Nicolas et al.,
BSGatlas-TSS-369,basu168,500124,+,A,0,DBTBS,10708364
